user_4651@contest.yandex.ru,880111113890
user_292@contest.yandex.ru,880111113920
user_3077@contest.yandex.ru,880111110775
user_3800@contest.yandex.ru,880111113564
user_3640@contest.yandex.ru,880111110350
user_643@contest.yandex.ru,880111110245
user_2824@contest.yandex.ru,880111113755
user_1850@contest.yandex.ru,880111113066
user_660@contest.yandex.ru,880111113860
user_3910@contest.yandex.ru,880111113985
user_2786@contest.yandex.ru,880111110590
user_4624@contest.yandex.ru,880111110630
user_1255@contest.yandex.ru,880111110140
user_693@contest.yandex.ru,880111110135
user_245@contest.yandex.ru,880111114345
user_1010@contest.yandex.ru,880111112190
user_2349@contest.yandex.ru,880111114690
user_3385@contest.yandex.ru,880111110378
user_2605@contest.yandex.ru,880111114465
user_4095@contest.yandex.ru,880111113050
user_3520@contest.yandex.ru,880111110435
user_2399@contest.yandex.ru,880111114275
user_4354@contest.yandex.ru,880111110740
user_2275@contest.yandex.ru,880111114374
user_2010@contest.yandex.ru,880111110400
user_3010@contest.yandex.ru,880111111905
user_3450@contest.yandex.ru,880111114770
user_1565@contest.yandex.ru,880111110571
user_1609@contest.yandex.ru,880111110605
user_3949@contest.yandex.ru,880111114805
user_2745@contest.yandex.ru,880111110876
user_1980@contest.yandex.ru,880111113221
user_3696@contest.yandex.ru,880111112155
user_1290@contest.yandex.ru,880111114804
user_885@contest.yandex.ru,880111112182
user_2640@contest.yandex.ru,880111112643
user_2570@contest.yandex.ru,880111114705
user_985@contest.yandex.ru,880111111671
user_946@contest.yandex.ru,880111113715
user_1095@contest.yandex.ru,880111114889
user_4920@contest.yandex.ru,880111112425
user_3395@contest.yandex.ru,880111113819
user_4003@contest.yandex.ru,880111111515
user_3354@contest.yandex.ru,880111110175
user_411@contest.yandex.ru,880111114635
user_2625@contest.yandex.ru,880111113735
user_3203@contest.yandex.ru,880111112635
user_4750@contest.yandex.ru,880111110321
user_770@contest.yandex.ru,880111110181
user_2995@contest.yandex.ru,880111110192
user_2150@contest.yandex.ru,880111114818
